0, 2867200
1, 81920
2, 61440
3, 61440
4, 61440
5, 81920
6, 102400
7, 204800
8, 2560000
9, 122880
10, 102400
11, 102400
12, 102400
13, 102400
14, 102400
15, 112640
16, 2590720
17, 184320
18, 102400
19, 71680
20, 61440
21, 71680
22, 71680
23, 266240
24, 2662400
25, 61440
26, 40960
27, 61440
28, 40960
29, 40960
30, 61440
31, 245760
32, 2570240
33, 133120
34, 61440
35, 40960
36, 40960
37, 51200
38, 51200
39, 184320
40, 2641920
41, 143360
42, 61440
43, 61440
44, 40960
45, 61440
46, 81920
47, 122880
48, 2744320
49, 122880
50, 102400
51, 112640
52, 102400
53, 102400
54, 112640
55, 122880
56, 2580480
57, 184320
58, 102400
59, 61440
60, 61440
61, 40960
62, 61440
63, 61440
64, 235520
65, 2672640
66, 61440
67, 61440
68, 40960
69, 40960
70, 40960
71, 61440
72, 225280
73, 2570240
74, 174080
75, 51200
76, 40960
77, 51200
78, 51200
79, 40960
80, 71680
81, 2754560
82, 174080
83, 71680
84, 61440
85, 61440
86, 81920
87, 102400
88, 204800
89, 2570240
90, 122880
91, 102400
92, 112640
93, 102400
94, 102400
95, 102400
96, 122880
97, 2560000
98, 204800
99, 102400
100, 81920
101, 61440
102, 61440
103, 61440
104, 296960
105, 2631680
106, 51200
107, 51200
108, 30720
109, 40960
110, 40960
111, 40960
112, 40960
113, 40960
114, 51200
115, 2652160
116, 266240
117, 61440
118, 71680
119, 81920
120, 61440
121, 122880
122, 215040
123, 2560000
124, 122880
125, 102400
126, 92160
127, 112640
128, 102400
129, 102400
130, 102400
131, 2580480
132, 194560
133, 112640
134, 81920
135, 71680
136, 61440
137, 61440
138, 245760
139, 2682880
140, 61440
141, 51200
142, 51200
143, 40960
144, 40960
145, 71680
146, 215040
147, 2560000
148, 184320
149, 61440
150, 40960
151, 51200
152, 51200
153, 40960
154, 61440
155, 122880
156, 2744320
157, 81920
158, 92160
159, 81920
160, 81920
161, 122880
162, 204800
163, 2560000
164, 122880
165, 102400
166, 102400
167, 92160
168, 92160
169, 81920
170, 81920
171, 102400
172, 2744320
173, 122880
174, 81920
175, 61440
176, 61440
177, 61440
178, 296960
179, 2641920
180, 40960
181, 40960
182, 40960
183, 40960
184, 40960
185, 40960
186, 30720
187, 61440
188, 40960
189, 2652160
190, 286720
191, 61440
192, 61440
193, 61440
194, 81920
195, 122880
196, 194560
197, 2560000
198, 81920
199, 81920
200, 81920
201, 81920
202, 122880
203, 122880
204, 153600
205, 2600960
206, 215040
207, 122880
208, 61440
209, 61440
210, 71680
211, 71680
212, 81920
213, 2744320
214, 112640
215, 51200
216, 51200
217, 40960
218, 61440
219, 40960
220, 61440
221, 245760
222, 2519040
223, 204800
224, 51200
225, 51200
226, 40960
227, 51200
228, 61440
229, 61440
230, 2723840
231, 204800
232, 61440
233, 71680
234, 71680
235, 81920
236, 122880
237, 194560
238, 2570240
239, 112640
240, 102400
241, 102400
242, 112640
243, 102400
244, 112640
245, 122880
246, 2570240
247, 184320
248, 174080
249, 51200
250, 40960
251, 61440
252, 51200
253, 30720
254, 71680
255, 2088960
